gene_id,gene_symbol,baseMean,log2FC_trt_vs_untrt,p_value,padj_bh
ENSG00000183044,,498.690,1.1559,2.14347e-151,4.79472e-147
ENSG00000116001,,1335.468,-0.5040,1.88307e-142,2.10612e-138
ENSG00000131871,,806.895,0.6863,2.16363e-139,1.61327e-135
ENSG00000148175,,11193.723,1.4478,1.28577e-135,7.19035e-132
ENSG00000179593,,67.243,6.9778,3.43505e-115,1.53677e-111
ENSG00000134686,,2737.982,1.3877,2.65749e-104,9.90756e-101
ENSG00000152583,SPARCL1,997.445,4.5703,7.21321e-104,2.30503e-100
ENSG00000116584,,2250.581,-1.0165,3.25672e-87,9.10618e-84
ENSG00000102226,,1449.018,-0.2009,2.74719e-72,6.82798e-69
ENSG00000189266,,1692.293,0.4143,1.07744e-67,2.41013e-64
ENSG00000114745,,984.791,0.5516,9.57225e-64,1.94656e-60
ENSG00000149792,,683.068,-0.5409,8.53597e-61,1.59118e-57
ENSG00000125148,,3656.267,2.2101,2.08571e-58,3.58887e-55
ENSG00000136877,,1049.272,0.6365,2.33805e-58,3.73571e-55
ENSG00000196517,,229.638,-2.2301,6.71438e-56,1.00129e-52
ENSG00000042286,,594.476,0.7036,2.90556e-55,4.06215e-52
ENSG00000152495,,69.112,-1.2982,1.89005e-54,2.48698e-51
ENSG00000179094,PER1,776.600,3.1917,6.96375e-53,8.65401e-50
ENSG00000181467,,630.870,-1.2665,2.11732e-52,2.49276e-49
ENSG00000164125,,5596.351,1.1248,5.95975e-51,6.66569e-48
ENSG00000103502,,3319.866,0.8236,1.16042e-50,1.23607e-47
ENSG00000162616,,1467.638,1.5178,1.05087e-49,1.0685e-46
ENSG00000259298,,3.093,-1.3793,1.3111e-49,1.27513e-46
ENSG00000143494,,18.961,-3.4011,2.00881e-49,1.8723e-46
ENSG00000144369,,1303.263,-1.3451,2.11291e-48,1.89055e-45
ENSG00000079462,,58.312,-1.0212,3.53908e-48,3.04483e-45
ENSG00000196152,,134.742,-0.7944,5.60224e-48,4.64135e-45
ENSG00000113456,,944.894,0.8298,1.02157e-47,8.16127e-45
ENSG00000172831,,1197.943,-0.5384,6.4873e-47,5.00394e-44
ENSG00000172939,,1229.242,0.4634,8.26741e-47,6.16445e-44
ENSG00000123562,,5040.483,1.0279,8.9242e-47,6.43953e-44
ENSG00000168917,,238.122,0.8080,1.16782e-46,8.16345e-44
ENSG00000077684,,1570.634,1.2002,2.10837e-46,1.42916e-43
ENSG00000158246,,70.303,2.3189,2.83416e-46,1.86463e-43
ENSG00000162614,,5393.115,2.0356,1.67464e-44,1.07029e-41
ENSG00000120129,DUSP1,3409.038,2.9479,3.57347e-44,2.22041e-41
ENSG00000177666,,1701.232,1.0998,1.44978e-43,8.76493e-41
ENSG00000178695,,2649.823,-2.5307,4.54391e-43,2.67481e-40
ENSG00000139289,,1975.853,-0.9919,1.02661e-42,5.88826e-40
ENSG00000132356,,2383.874,0.8669,3.5854e-42,2.00505e-39
ENSG00000128285,,6.625,-3.5868,1.25834e-41,6.8653e-39
ENSG00000108821,,100989.916,-1.3050,3.68094e-41,1.94524e-38
ENSG00000171469,,603.300,-0.6592,3.73933e-41,1.94524e-38
ENSG00000114098,,1010.293,1.3458,9.06469e-41,4.60836e-38
