gene_id,gene_symbol,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000000003,,9.3757,8.9685,9.5336,9.2525,9.9178,9.5495,9.7095,9.2445
ENSG00000000419,,8.8367,9.1692,9.0430,9.0921,8.9642,9.1601,8.8261,9.0737
ENSG00000000457,,7.9943,7.8854,7.8072,7.9411,7.7076,7.8923,7.9889,7.9274
ENSG00000000460,,5.8976,5.9629,5.1257,5.7343,6.0711,5.5245,6.3843,6.0117
ENSG00000000971,,11.6334,12.0037,12.3548,12.6319,12.4788,12.9445,12.4569,13.0474
ENSG00000001036,,10.4521,10.2120,10.5218,10.3618,10.2410,10.0078,10.5283,10.1986
ENSG00000001084,,8.9887,8.7315,8.9814,9.5251,9.4456,8.9982,9.5639,9.5437
ENSG00000001167,,8.5921,8.0463,8.6234,8.0344,9.1286,8.7088,8.6146,8.1588
ENSG00000001460,,7.4011,7.5582,7.8126,7.4685,7.6840,7.2394,7.4037,7.5576
ENSG00000001461,,11.0114,11.0254,12.0888,11.9537,11.1820,10.9420,11.3881,11.5871
ENSG00000001497,,9.0025,9.0916,9.0819,9.0602,9.1675,9.1727,9.0672,8.9769
ENSG00000001561,,6.1367,5.8558,7.4909,7.8693,4.3597,4.8156,7.1950,7.5165
ENSG00000001617,,9.0853,8.7835,9.5855,9.2770,9.2722,8.9635,9.3926,9.3110
ENSG00000001626,,3.4288,1.6923,3.1094,1.9946,3.2466,2.4029,2.6848,2.6539
ENSG00000001629,,10.6641,10.4481,10.9040,10.6541,11.0304,10.8121,11.0024,10.7801
ENSG00000001630,,5.8737,5.9368,5.8318,5.1427,6.1765,5.9815,5.1155,5.9879
ENSG00000001631,,9.4781,9.5947,9.6447,9.4715,9.7797,9.7009,9.6346,9.6233
ENSG00000002016,,7.6247,7.4971,7.7684,7.2168,7.8365,7.5290,7.4492,7.1902
ENSG00000002079,,1.9748,0.0000,1.8251,1.3176,2.1364,0.0000,0.0000,1.0417
ENSG00000002330,,7.6599,7.6086,7.2946,7.3808,7.3727,7.5457,7.4129,7.5576
ENSG00000002549,,10.4781,10.4968,10.1261,10.5416,10.2681,10.3495,9.8570,10.0934
ENSG00000002586,,12.8405,12.9728,12.9758,13.1792,13.1859,13.1666,12.8577,12.9013
ENSG00000002745,,2.2950,2.9440,4.2966,3.9932,1.4320,0.7780,2.6848,2.0622
ENSG00000002746,,7.2144,7.2864,6.6466,6.6149,6.2747,6.2076,6.5607,6.9885
ENSG00000002822,,8.6529,8.4057,8.5665,8.1900,8.5655,8.5501,8.3281,8.3157
ENSG00000002834,,12.5909,12.7941,12.6970,13.0819,12.4693,13.0629,12.6126,13.0163
ENSG00000002919,,7.8429,8.1060,7.9867,8.3034,7.5334,8.0755,7.6498,8.1373
ENSG00000002933,,10.2598,10.7175,9.0774,9.3315,4.4743,4.3433,6.2672,6.8629
ENSG00000003056,,10.1831,10.0468,10.0692,10.0158,10.0963,10.1195,10.0228,9.8960
ENSG00000003096,,9.0723,8.4615,8.8864,8.0012,8.7869,7.6724,9.0436,7.8957
ENSG00000003137,,6.9323,6.0136,7.7684,6.5702,4.7265,5.0516,7.7258,6.1897
ENSG00000003249,,6.3242,6.3261,7.4635,6.9117,6.5478,6.3408,7.4129,7.0929
ENSG00000003393,,9.5550,9.6579,9.3915,9.6563,9.8884,10.0763,9.7057,9.8388
ENSG00000003400,,6.5960,6.0626,6.8298,6.7610,5.6510,5.1709,6.7178,6.1686
ENSG00000003402,,10.4431,11.5124,10.5293,11.7851,10.9583,11.8597,10.4216,11.9596
ENSG00000003436,,12.0610,12.1888,12.2624,12.2353,12.6066,11.7982,11.8726,11.7892
ENSG00000003509,,8.1363,8.2921,8.2463,8.1602,8.3609,8.1500,8.0959,8.0420
ENSG00000003756,,11.1764,10.9304,11.1580,10.9524,11.1348,10.8156,11.0826,11.1005
ENSG00000003987,,4.1381,4.8529,4.4722,5.4686,4.1685,5.2270,3.8107,4.8868
ENSG00000003989,,5.5520,5.9885,3.4820,2.4535,5.4694,6.2076,4.3609,5.6352
ENSG00000004059,,10.0577,10.5101,9.9181,10.2531,10.1469,10.4722,10.1259,10.4788
ENSG00000004139,,6.4096,6.5487,6.4647,6.2690,6.6243,6.1652,6.4927,6.3667
ENSG00000004142,,10.5142,10.7524,10.4130,10.4916,10.5415,10.6845,10.2661,10.3780
ENSG00000004399,,11.9599,12.2152,11.5963,11.2657,12.1596,12.0647,11.5279,11.5386
ENSG00000004455,,10.2047,10.2770,10.2992,10.1620,10.3131,10.6675,10.1104,9.9308
ENSG00000004468,,1.9748,1.0813,0.0000,0.0000,1.8268,0.7780,1.6654,1.0417
ENSG00000004478,,8.9408,9.0096,8.8708,8.7156,9.0242,8.8827,8.7662,8.7005
ENSG00000004487,,10.4288,10.1093,10.3060,10.0848,10.5031,10.1732,10.4227,10.0990
ENSG00000004534,,10.1987,10.1468,10.6199,10.4227,10.5141,10.2599,10.3137,10.0681
ENSG00000004660,,6.5516,5.9629,5.6730,5.7343,6.2264,5.8447,7.3944,6.1686
ENSG00000004700,,9.8444,10.2574,9.9824,10.1602,9.6561,10.0208,9.7860,10.3026
ENSG00000004766,,8.9118,8.8513,8.8577,8.9772,9.0219,8.9215,8.8870,8.8134
ENSG00000004776,,11.7287,11.7464,11.2007,11.2410,10.7900,10.6547,11.9215,11.7052
ENSG00000004777,,7.0109,6.9771,6.8405,6.4022,6.2904,5.7898,6.9254,6.2511
ENSG00000004779,,8.3327,8.5501,8.7136,8.5927,8.4720,8.6789,8.3232,8.4308
ENSG00000004799,,6.3242,9.7709,6.7972,10.6897,7.6478,8.4415,9.4158,11.7207
ENSG00000004838,,3.6693,3.7306,4.2966,3.6937,3.4841,3.7935,4.2826,2.8782
ENSG00000004846,,4.5527,2.1203,5.9152,4.1224,2.9622,2.8939,4.6376,2.6539
ENSG00000004864,,7.1364,7.0396,6.8082,7.0481,7.5981,7.6724,7.3179,7.1041
ENSG00000004866,,8.7801,8.1800,9.3565,8.4946,8.8089,8.4911,8.7698,8.2963
ENSG00000004897,,10.5644,10.5461,10.5193,10.6910,10.5732,10.6020,10.5059,10.5417
ENSG00000004961,,8.7705,8.5285,8.8176,8.7460,9.1460,8.7573,8.6146,8.7474
ENSG00000004975,,10.3831,10.1282,9.8254,9.5908,10.0381,9.5687,10.1147,9.7999
ENSG00000005007,,11.0424,11.3047,11.0128,11.1463,10.9577,11.2088,11.0593,11.3677
ENSG00000005020,,9.6702,9.7690,9.2460,9.6984,9.0819,9.2097,9.7076,9.9040
ENSG00000005022,,10.3554,10.2079,10.1327,10.1955,10.1030,10.0188,9.9691,10.0115
ENSG00000005059,,7.7213,7.7868,7.7286,8.0508,7.3653,7.1978,7.8464,7.9707
ENSG00000005075,,9.6066,9.8533,9.7436,9.6267,9.7024,9.8221,9.5261,9.4979
ENSG00000005100,,8.7312,8.9588,8.6931,9.0562,8.7952,8.9593,8.6886,9.3791
ENSG00000005108,,3.2916,3.1394,2.6057,3.6937,3.1114,3.9350,3.8107,4.0773
ENSG00000005156,,7.8119,7.3271,7.6877,7.1272,8.2077,8.1964,7.6341,7.0704
ENSG00000005175,,8.4093,8.3623,7.6577,7.5281,8.7702,8.3306,8.5533,8.3060
ENSG00000005187,,2.2950,2.9440,3.4820,3.9932,3.1114,3.0264,3.8107,2.8782
ENSG00000005189,,6.3417,6.1331,6.2404,6.4523,6.3060,5.2811,6.6724,6.2511
ENSG00000005194,,8.6599,8.8408,8.8864,9.0399,8.8360,8.9385,8.5944,8.8269
ENSG00000005206,,9.3778,9.3552,9.3339,9.2874,9.3132,9.5523,9.3087,9.3882
ENSG00000005238,,9.6210,9.4526,9.4951,9.2095,9.7156,9.4200,9.3404,9.3629
ENSG00000005243,,10.1122,10.0176,10.1425,10.1393,9.7171,9.6049,10.1399,9.9603
ENSG00000005249,,7.7543,8.0824,7.9023,8.8891,7.9548,8.1169,7.8327,8.7756
ENSG00000005302,,8.8792,9.1914,8.7165,8.8845,8.7217,8.9427,8.7805,8.6519
ENSG00000005339,,11.3326,11.0635,11.3766,11.1204,11.4197,11.4663,11.3351,11.4031
ENSG00000005379,,7.5134,7.4146,6.7064,7.0317,7.1918,7.8028,7.0129,7.1151
ENSG00000005381,,2.2950,3.6040,3.1094,1.3176,0.0000,1.6527,2.9100,2.0622
ENSG00000005436,,7.7146,7.9191,7.9074,8.0908,8.0823,8.2414,8.0194,8.0650
ENSG00000005448,,7.8119,7.8510,7.8449,7.8320,7.6417,8.2751,7.5021,8.0362
ENSG00000005469,,8.9292,8.7277,8.0200,8.0012,9.0568,8.5082,9.1300,8.9678
ENSG00000005471,,5.9892,4.3982,5.6968,4.7209,4.2351,3.7935,5.8448,4.6024
ENSG00000005483,,10.6805,10.6768,10.4924,10.6766,10.8410,10.8371,10.7142,10.8823
ENSG00000005486,,9.5532,9.4318,9.8797,9.7190,9.9762,9.9917,9.6963,9.5084
ENSG00000005513,,3.4288,1.6923,2.3893,0.0000,2.3911,1.6527,2.6848,3.0723
ENSG00000005700,,10.0297,9.8463,10.3252,10.2046,10.1480,10.2506,10.2964,10.2696
